"BehaviorSpace results (NetLogo 6.0.2)"
"basic.nlogo"
"vary mutation-magnitude"
"05/07/2018 23:07:05:844 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","26","0","15"
"[run number]","percent-to-replace","N","mutation-magnitude","tau","p","num-variants","[step]","total-wealth","get-for-pool recent-agent-history 0","get-for-pool recent-agent-history 1","get-for-pool recent-agent-history 2"
"3","1","50","0","0","0","1","32","954.0000000000001","2","20","28"
"8","1","50","0.05","0","0","1","36","1666.9999999999998","1","23","26"
"5","1","50","0","0","0","1","45","2226.0000000000005","2","24","24"
"7","1","50","0.05","0","0","1","43","2176.0000000000005","8","19","23"
"2","1","50","0","0","0","1","37","1748.9999999999995","5","28","17"
"4","1","50","0","0","0","1","34","1575.9999999999993","0","31","19"
"6","1","50","0.05","0","0","1","36","1534.000000000001","2","17","31"
"1","1","50","0","0","0","1","26","1292.0000000000002","3","18","29"
"8","1","50","0.05","0","0","1","37","1710.9999999999998","4","22","24"
"7","1","50","0.05","0","0","1","44","2221.0000000000005","5","20","25"
"2","1","50","0","0","0","1","38","1794.0000000000002","5","28","17"
"4","1","50","0","0","0","1","35","1616.0000000000005","0","33","17"
"6","1","50","0.05","0","0","1","37","1537.0000000000007","3","15","32"
"1","1","50","0","0","0","1","27","1295","3","18","29"
"3","1","50","0","0","0","1","33","996","2","20","28"
"7","1","50","0.05","0","0","1","45","2266.9999999999995","6","17","27"
"8","1","50","0.05","0","0","1","38","1833.0000000000002","2","23","25"
"4","1","50","0","0","0","1","36","1616","0","31","19"
"5","1","50","0","0","0","1","46","2267.9999999999995","2","24","24"
"1","1","50","0","0","0","1","28","1417.9999999999995","3","18","29"
"6","1","50","0.05","0","0","1","38","1580.000000000001","3","16","31"
"3","1","50","0","0","0","1","34","997.9999999999997","2","20","28"
"7","1","50","0.05","0","0","1","46","2353.000000000001","6","21","23"
"8","1","50","0.05","0","0","1","39","1837.0000000000002","4","20","26"
"4","1","50","0","0","0","1","37","1616.0000000000002","0","33","17"
"5","1","50","0","0","0","1","47","2309.9999999999995","2","24","24"
"2","1","50","0","0","0","1","39","1838.9999999999995","5","28","17"
"6","1","50","0.05","0","0","1","39","1583.000000000001","3","17","30"
"1","1","50","0","0","0","1","29","1500.9999999999995","3","18","29"
"3","1","50","0","0","0","1","35","1039.9999999999998","2","20","28"
"7","1","50","0.05","0","0","1","47","2480.999999999999","8","18","24"
"8","1","50","0.05","0","0","1","40","1880.0000000000002","3","20","27"
"3","1","50","0","0","0","1","36","1042","2","20","28"
"6","1","50","0.05","0","0","1","40","1586.0000000000007","3","18","29"
"7","1","50","0.05","0","0","1","48","2487.9999999999995","7","22","21"
"4","1","50","0","0","0","1","38","1616.0000000000002","0","31","19"
"2","1","50","0","0","0","1","40","1923.9999999999998","5","28","17"
"8","1","50","0.05","0","0","1","41","1923.0000000000002","3","25","22"
"3","1","50","0","0","0","1","37","1043.9999999999995","2","20","28"
"7","1","50","0.05","0","0","1","49","2536","8","20","22"
"5","1","50","0","0","0","1","48","2311.9999999999995","2","24","24"
"2","1","50","0","0","0","1","41","1928.9999999999989","5","28","17"
"8","1","50","0.05","0","0","1","42","1965.9999999999993","3","20","27"
"6","1","50","0.05","0","0","1","41","1631.0000000000005","5","19","26"
"4","1","50","0","0","0","1","39","1656.0000000000007","0","33","17"
"7","1","50","0.05","0","0","1","50","2665.0000000000005","9","19","22"
"1","1","50","0","0","0","1","30","1624.0000000000005","3","18","29"
"3","1","50","0","0","0","1","38","1045.9999999999998","2","20","28"
