"BehaviorSpace results (NetLogo 6.0.2)"
"basic.nlogo"
"vary tau"
"05/07/2018 00:39:06:388 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","26","0","15"
"[run number]","N","tau","p","[step]","total-wealth","sum [wealth] of turtles with [ strategy = 0 ]","sum [wealth] of turtles with [ strategy = 1 ]","sum [wealth] of turtles with [ strategy = 2 ]","sum [wealth] of turtles with [ strategy = 3 ]"
"8","50","0.05","1","50","3272.350000000002","3272.350000000002","0","0","0"
"4","50","0","1","42","3259","3259","0","0","0"
"6","50","0.05","1","42","3847.9000000000015","3847.9000000000015","0","0","0"
"3","50","0","1","41","3010","3010","0","0","0"
"5","50","0","1","49","4075.0000000000005","4075.0000000000005","0","0","0"
"4","50","0","1","43","3304.0000000000005","3304.0000000000005","0","0","0"
"1","50","0","1","28","2384.0000000000005","2384.0000000000005","0","0","0"
"8","50","0.05","1","51","3322.3000000000015","3322.3000000000015","0","0","0"
"6","50","0.05","1","43","3976.7000000000025","3976.7000000000025","0","0","0"
"3","50","0","1","42","3056.0000000000005","3056.0000000000005","0","0","0"
"5","50","0","1","50","4202","4202","0","0","0"
"2","50","0","1","41","3449","3449","0","0","0"
"4","50","0","1","44","3354","3354","0","0","0"
"1","50","0","1","29","2473","2473","0","0","0"
"6","50","0.05","1","44","4105.600000000002","4105.600000000002","0","0","0"
"8","50","0.05","1","52","3411.250000000001","3411.250000000001","0","0","0"
"3","50","0","1","43","3106","3106","0","0","0"
"5","50","0","1","51","4251.000000000001","4251.000000000001","0","0","0"
"7","50","0.05","1","49","3825.8000000000025","3825.8000000000025","0","0","0"
"4","50","0","1","45","3403","3403","0","0","0"
"1","50","0","1","30","2522","2522","0","0","0"
"6","50","0.05","1","45","4154.500000000003","4154.500000000003","0","0","0"
"8","50","0.05","1","53","3498.0500000000015","3498.0500000000015","0","0","0"
"3","50","0","1","44","3154","3154","0","0","0"
"2","50","0","1","42","3616","3616","0","0","0"
"5","50","0","1","52","4299.000000000001","4299.000000000001","0","0","0"
"4","50","0","1","46","3489.0000000000005","3489.0000000000005","0","0","0"
"1","50","0","1","31","2570","2570","0","0","0"
"6","50","0.05","1","46","4204.450000000003","4204.450000000003","0","0","0"
"8","50","0.05","1","54","3546.8500000000017","3546.8500000000017","0","0","0"
"3","50","0","1","45","3321.0000000000005","3321.0000000000005","0","0","0"
"1","50","0","1","32","2656.0000000000005","2656.0000000000005","0","0","0"
"7","50","0.05","1","50","3913.6500000000024","3913.6500000000024","0","0","0"
"2","50","0","1","43","3665","3665","0","0","0"
"5","50","0","1","53","4349","4349","0","0","0"
"8","50","0.05","1","55","3635.7500000000023","3635.7500000000023","0","0","0"
"4","50","0","1","47","3576","3576","0","0","0"
"3","50","0","1","46","3449","3449","0","0","0"
"6","50","0.05","1","47","4292.350000000001","4292.350000000001","0","0","0"
"1","50","0","1","33","2705","2705","0","0","0"
"7","50","0.05","1","51","4079.3500000000035","4079.3500000000035","0","0","0"
"8","50","0.05","1","56","3724.6500000000005","3724.6500000000005","0","0","0"
"3","50","0","1","47","3497.0000000000005","3497.0000000000005","0","0","0"
"6","50","0.05","1","48","4421.200000000003","4421.200000000003","0","0","0"
"7","50","0.05","1","52","4127.050000000003","4127.050000000003","0","0","0"
"2","50","0","1","44","3715","3715","0","0","0"
"5","50","0","1","54","4397.000000000001","4397.000000000001","0","0","0"
"8","50","0.05","1","57","3890.400000000001","3890.400000000001","0","0","0"
"3","50","0","1","48","3546","3546","0","0","0"
"6","50","0.05","1","49","4585.900000000002","4585.900000000002","0","0","0"
"4","50","0","1","48","3704","3704","0","0","0"
"7","50","0.05","1","53","4175.9000000000015","4175.9000000000015","0","0","0"
"8","50","0.05","1","58","3939.150000000002","3939.150000000002","0","0","0"
"1","50","0","1","34","2755","2755","0","0","0"
"3","50","0","1","49","3634.0000000000005","3634.0000000000005","0","0","0"
"4","50","0","1","49","3792.0000000000005","3792.0000000000005","0","0","0"
"7","50","0.05","1","54","4223.750000000002","4223.750000000002","0","0","0"
"8","50","0.05","1","59","3988.05","3988.05","0","0","0"
"5","50","0","1","55","4565.000000000001","4565.000000000001","0","0","0"
"2","50","0","1","45","3763","3763","0","0","0"
"7","50","0.05","1","55","4310.500000000003","4310.500000000003","0","0","0"
"4","50","0","1","50","3841","3841","0","0","0"
"6","50","0.05","1","50","4633.550000000002","4633.550000000002","0","0","0"
"8","50","0.05","1","60","4034.8500000000013","4034.8500000000013","0","0","0"
"3","50","0","1","50","3682.0000000000005","3682.0000000000005","0","0","0"
"2","50","0","1","46","3809","3809","0","0","0"
"4","50","0","1","51","3970.0000000000005","3970.0000000000005","0","0","0"
"8","50","0.05","1","61","4084.7000000000007","4084.7000000000007","0","0","0"
"7","50","0.05","1","56","4398.250000000003","4398.250000000003","0","0","0"
"3","50","0","1","51","3732.0000000000005","3732.0000000000005","0","0","0"
"8","50","0.05","1","62","4133.65","4133.65","0","0","0"
"5","50","0","1","56","4653","4653","0","0","0"
"7","50","0.05","1","57","4447.100000000002","4447.100000000002","0","0","0"
"8","50","0.05","1","63","4220.450000000001","4220.450000000001","0","0","0"
"5","50","0","1","57","4701.999999999999","4701.999999999999","0","0","0"
"3","50","0","1","52","3779","3779","0","0","0"
"7","50","0.05","1","58","4614.950000000001","4614.950000000001","0","0","0"
"6","50","0.05","1","51","4682.400000000003","4682.400000000003","0","0","0"
"8","50","0.05","1","64","4269.25","4269.25","0","0","0"
"5","50","0","1","58","4788.999999999999","4788.999999999999","0","0","0"
"4","50","0","1","52","4058.0000000000005","4058.0000000000005","0","0","0"
"7","50","0.05","1","59","4742.750000000002","4742.750000000002","0","0","0"
