"BehaviorSpace results (NetLogo 6.0.2)"
"basic.nlogo"
"vary tau, measure agent variance"
"05/14/2018 23:04:25:507 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","106","0","15"
"[run number]","N","tau","p","[step]","total-wealth","get-for-pool recent-agent-history 0","get-for-pool recent-agent-history 1","get-for-pool recent-agent-history 2","agent-variance"
"8","50","0","0","46","2097.9999999999995","0","50","0","162.4"
"2","50","0","0","52","2078","10","39","1","115.13333333333333"
"6","50","0","0","45","1892.0000000000005","0","39","11","199.6"
"5","50","0","0","44","1566.0000000000005","11","13","26","224.8962962962963"
"8","50","0","0","47","2098","0","11","39","162.4"
"6","50","0","0","46","1893","1","4","45","197.23703703703703"
"7","50","0","0","43","2815.0000000000005","5","13","32","152.31851851851852"
"5","50","0","0","45","1587.0000000000002","21","7","22","225.75555555555556"
"2","50","0","0","53","2166.0000000000005","8","1","41","144.1037037037037"
"4","50","0","0","26","1305.9999999999998","0","44","6","196.97037037037035"
"8","50","0","0","48","2110","12","11","27","162.4"
"3","50","0","0","35","1383.0000000000005","1","1","48","238.7851851851852"
"6","50","0","0","47","1940.0000000000002","7","6","37","200.97037037037035"
"7","50","0","0","44","2855.0000000000005","0","48","2","172.05185185185186"
"5","50","0","0","46","1628.9999999999998","2","47","1","222.28148148148148"
"2","50","0","0","54","2172","6","15","29","121.17037037037038"
"8","50","0","0","49","2119.0000000000005","9","24","17","162.4"
"4","50","0","0","27","1437.9999999999995","12","27","11","198.8962962962963"
"7","50","0","0","45","2951","16","15","19","171.8296296296296"
"5","50","0","0","47","1628.9999999999995","0","3","47","222.28148148148148"
"3","50","0","0","36","1463.000000000001","0","49","1","238.7851851851852"
"8","50","0","0","50","2176","17","11","22","162.4"
"2","50","0","0","55","2301.0000000000005","9","23","18","112.45185185185183"
"5","50","0","0","48","1673","4","36","10","222.28148148148148"
"4","50","0","0","28","1479.9999999999995","2","4","44","209.9925925925926"
"8","50","0","0","51","2176","0","50","0","162.4"
"7","50","0","0","46","2965.0000000000005","14","29","7","178.9333333333333"
"2","50","0","0","56","2425.9999999999995","5","34","11","121.4074074074074"
"5","50","0","0","49","1723.9999999999998","11","13","26","222.28148148148148"
"8","50","0","0","52","2176.000000000001","0","11","39","162.4"
"7","50","0","0","47","3006.000000000001","1","2","47","215.16296296296295"
"2","50","0","0","57","2441.0000000000005","15","29","6","110.21481481481482"
"5","50","0","0","50","1745","21","7","22","222.28148148148148"
"3","50","0","0","37","1505.0000000000005","2","24","24","238.7851851851852"
"8","50","0","0","53","2228","12","11","27","162.4"
"7","50","0","0","48","3054","8","18","24","181.4740740740741"
"5","50","0","0","51","1867.0000000000002","2","47","1","222.28148148148148"
"4","50","0","0","29","1505","25","20","5","216.12592592592594"
"2","50","0","0","58","2441","0","1","49","144.58518518518517"
"1","50","0","0","17","810.0000000000002","13","23","14","167.63703703703706"
"8","50","0","0","54","2277","9","24","17","162.4"
"3","50","0","0","38","1553.000000000001","8","15","27","238.7851851851852"
"4","50","0","0","30","1507.9999999999998","3","13","34","201.3481481481481"
"2","50","0","0","59","2493","12","16","22","135.69629629629628"
"8","50","0","0","55","2294","17","11","22","162.4"
"7","50","0","0","49","3054.9999999999995","1","38","11","157.5111111111111"
"1","50","0","0","18","905.9999999999998","16","11","23","166.6888888888889"
"6","50","0","0","48","1989.0000000000007","9","38","3","200.97037037037035"
"3","50","0","0","39","1661.0000000000007","28","17","5","238.7851851851852"
"4","50","0","0","31","1507.9999999999998","0","43","7","192.8814814814815"
"5","50","0","0","52","1906.9999999999995","0","3","47","222.28148148148148"
"2","50","0","0","60","2537.000000000001","4","23","23","132.2740740740741"
"8","50","0","0","56","2334.0000000000005","0","50","0","162.4"
"6","50","0","0","49","2129","20","19","11","202.57777777777778"
"5","50","0","0","53","1951.0000000000005","4","36","10","222.28148148148148"
"3","50","0","0","40","1782","1","1","48","238.7851851851852"
"7","50","0","0","50","3154","19","19","12","159.17777777777778"
"2","50","0","0","61","2538.9999999999995","2","43","5","160.06666666666663"
"4","50","0","0","32","1559","11","24","15","189.4"
"5","50","0","0","54","1962","11","13","26","222.28148148148148"
"3","50","0","0","41","1821.9999999999998","0","49","1","238.7851851851852"
"1","50","0","0","19","960","14","16","20","167.91851851851854"
"2","50","0","0","62","2640.9999999999995","22","17","11","145.4148148148148"
"8","50","0","0","57","2453.9999999999995","0","11","39","162.4"
"4","50","0","0","33","1600.0000000000002","1","2","47","203.5111111111111"
"6","50","0","0","50","2169.0000000000005","0","39","11","202.57777777777778"
"5","50","0","0","55","2023.0000000000005","21","7","22","222.28148148148148"
"3","50","0","0","42","1903.9999999999998","2","24","24","238.7851851851852"
"2","50","0","0","63","2640.9999999999995","0","2","48","158.08148148148146"
"4","50","0","0","34","1745","25","21","4","207.13333333333335"
"7","50","0","0","51","3204.999999999999","11","27","12","156.2888888888889"
"6","50","0","0","51","2211.000000000001","2","4","44","198.04444444444445"
"2","50","0","0","64","2695.000000000001","14","18","18","156.94074074074078"
"1","50","0","0","20","960","0","49","1","180.92592592592595"
"4","50","0","0","35","1791.9999999999995","7","13","30","193.60740740740744"
"6","50","0","0","52","2258.0000000000005","7","6","37","201.04444444444448"
"3","50","0","0","43","1992.0000000000002","8","15","27","238.7851851851852"
"2","50","0","0","65","2698.0000000000005","3","25","22","157.93333333333334"
"4","50","0","0","36","1911.9999999999998","0","45","5","196.42962962962963"
"6","50","0","0","53","2307.0000000000005","9","38","3","201.04444444444448"
"5","50","0","0","56","2105","2","47","1","222.28148148148148"
"7","50","0","0","52","3205.000000000002","0","1","49","180.1851851851852"
"2","50","0","0","66","2739.999999999999","2","47","1","188.2888888888889"
"1","50","0","0","21","1039.9999999999998","0","6","44","177.99259259259256"
"6","50","0","0","54","2325.999999999999","19","19","12","199.42222222222222"
"7","50","0","0","53","3252.0000000000005","7","25","18","173.28148148148148"
"5","50","0","0","57","2105.000000000001","0","3","47","222.28148148148148"
"4","50","0","0","37","1961.0000000000005","9","21","20","191.16296296296295"
"3","50","0","0","44","2099.9999999999995","28","17","5","238.7851851851852"
"8","50","0","0","58","2465.999999999999","12","11","27","162.4"
"2","50","0","0","67","2752.9999999999995","13","12","25","179.86666666666667"
"8","50","0","0","59","2475.0000000000005","9","24","17","162.4"
"3","50","0","0","45","2140.9999999999995","1","1","48","238.7851851851852"
"7","50","0","0","54","3336.0000000000005","4","28","18","133.72592592592594"
"4","50","0","0","38","1962.0000000000007","1","3","46","196.45185185185187"
"8","50","0","0","60","2491.9999999999995","17","11","22","162.4"
"1","50","0","0","22","1047.9999999999998","8","22","20","172.67407407407407"
"3","50","0","0","46","2181.0000000000005","0","49","1","238.7851851851852"
